id|English|Español
DATABASE_ZONA_FAILED_INSERT|There was an error while inserting the new zone|Error al insertar la nueva zona.
DATABASE_ZONA_RADIOCOMP|Radius comparison|Comparación del radio
DATABASE_ZONA_RADIORANGE|Radius range|Rango del radio
DATABASE_ZONA_SUCCESSFUL_INSERT|New zone inserted sucessfully|Nueva zona insertada con éxito
DATABASE_ZONA_UBICACION|Ubication|Ubicación
DATABASE_ZONA_GEOFORMAT|Geolocation data is given in Latitude and Longitude (WSG84) for the central point.|Los datos de geolocalización vienen dados en Latitud/Longitud (WSG84) para el punto central.
DETAILS_3DPARAMS|3D parameters|Parámetros 3D
DETAILS_AABB_CENTER|Center|Centro
DETAILS_AABB_EXTENT|Extent|Extensión
DETAILS_AABB_MAX|Maximum point|Punto máximo
DETAILS_AABB_MIN|Minimum point|Punto mínimo
DETAILS_BAND|Band|Banda
DETAILS_CAM_ACTIVE|Active camera|Cámara activa
DETAILS_CAM_LOOKAT|Look at|Mirando a
DETAILS_CAM_ORTHOCOORDS|Bottom left corner|Esquina inferior izquierda
DETAILS_CAM_PROJECTION|Camera type|Tipo de cámara
DETAILS_CAM_ZNEAR|Z near|Z cercano
DETAILS_CAM_ZFAR|Z far|Z lejano
DETAILS_CAM_FOVY|Vertical field of vision|Campo de visión vertical
DETAILS_COLORS|Colors|Colores
DETAILS_ENABLED|Enabled|Activo
DETAILS_IMAGE_TEXVIEW|Texture viewer|Ver textura
DETAILS_LIGHT_ATTN|Attenuation|Atenuación
DETAILS_LIGHT_ATTN_C1|C1|C1
DETAILS_LIGHT_ATTN_C2|C2|C2
DETAILS_LIGHT_ATTN_C3|C3|C3
DETAILS_LIGHT_COLOR_IA|Ia|Ia
DETAILS_LIGHT_COLOR_ID|Id|Id
DETAILS_LIGHT_COLOR_IS|Is|Is
DETAILS_LIGHT_COLOR_SMOOTHING|Spot Smoothing Factor|Factor de suavizado
DETAILS_LIGHT_COLOR_PENUMBRACOS|Penumbra cosine|Coseno de penumbra
DETAILS_LIGHT_COLOR_UMBRACOS|Umbra cosine|Coseno de umbra
DETAILS_LIGHT_DIRECTION|Direction|Dirección
DETAILS_LIGHT_DISTANCE|Distance|Distancia
DETAILS_LIGHT_MAXDISTANCE|Maximum distance|Distancia máxima
DETAILS_LIGHT_MINDISTANCE|Minimum distance|Distancia mínima
DETAILS_LIGHT_PIXAR_C|C|C
DETAILS_LIGHT_PIXAR_CDIST|C (Distance)|C (Distancia)
DETAILS_LIGHT_PIXAR_MAXATTNFACT|Maximum attenuation factor|Factor de atenuación máxima
DETAILS_LIGHT_PIXAR_SEEXP|SE Exponent|Exponente SE
DETAILS_LIGHT_PIXAR_K0|k0|k0
DETAILS_LIGHT_PIXAR_K1|k1|k1
DETAILS_LIGHT_TYPE|Light type|Tipo de luz
DETAILS_MATS_LAYER|Layer|Capa
DETAILS_MATS_NOTEXTURE|No texture set|No hay textura asignada
DETAILS_MATS_PROPDISP|Displacement factor|Factor de desplazamiento
DETAILS_MATS_PROPERTIES|Material properties|Propiedades del material
DETAILS_MATS_PROPSHINE|Shininess|Brillo
DETAILS_MATS_SHADSUBROUT|Shader subroutines|Subrutinas de sombreador
DETAILS_MATS_TEXTURES|Textures|Texturas
DETAILS_MATS_UNAVAILABLE|Material unavailable|Material no disponible
DETAILS_MESH_COMPONENT|Component|Componente
DETAILS_MESH_COMPONENTS|Components|Componentes
DETAILS_MESH_VERTCOUNT|Vertex count|Número de vértices
DETAILS_VIEW_MODE|View mode|Modo de renderizado
DETAILS_NORMALS_VIEW|Show normals|Ver normales
DETAILS_NOSELECTION|No selection|No hay selección
DETAILS_PCLOUD_NOSUBCLOUD|No sub-point cloud available|No hay sub-nubes de puntos disponibles
DETAILS_PCLOUD_POINTCOUNT|Point count|Número de puntos
DETAILS_PCLOUD_SUBCLOUDS|Sub-point clouds|Sub-nubes de puntos
DETAILS_PCLOUD_DEBUGVIEW|Debug view|Visualización debug
DETAILS_POSITION|Position|Posición
DETAILS_ROTATION|Rotation|Rotación
DETAILS_SCALE|Scale|Escalado
DETAILS_SCAN_ANGLE_THRESHOLD|Scan angle threshold|Limite de angulo de escaneo
DIGITAL_TERRAIN_MODEL|DTM (Digital terrain model)|MDT (Modelo digital del terreno)
EMPTY||
