id|English|Español
RECONSTRUCCION_RGB_REGION_SEGMENTATION_DISTANCE|Distance threshold|Distancia umbral
RECONSTRUCCION_RGB_REGION_SEGMENTATION_POINT_COLOR|Point color threshold|Umbral de color de los puntos
RECONSTRUCCION_RGB_REGION_SEGMENTATION_REGION_COLOR|Region color threshold|Umbral de color de la región
RECONSTRUCCION_RGB_REGION_SEGMENTATION_MIN_CLUSTER|Min cluster size|Tamaño mínimo del cluster
RECONSTRUCCION_RGB_REGION_SEGMENTATION_BUTTON|Generate RGB region segmentation|Generar segmentación de regiones RGB
RECONSTRUCCION_RGB_REGION_SEGMENTATION_WARNING|"""""""High vegetation"""" clasification not found"""|"""Clasificación """"High vegetation"""" no encontrada"""
RECONSTRUCCION_VOXEL_GRID_TABNAME|Voxel Grid|Malla de vóxeles
RECONSTRUCCION_VOXEL_GRID_WARNING|"""""""Ground"""" clasification not found"""|"""Clasificación """"Ground"""" no encontrada"""
RECONSTRUCCION_MDT|Reconstrucción MDT|MDT Reconstruction
REPORT_TITLE|Report error|Reportar error
REPORT_TAB_SYSTEM|System|Sistema
REPORT_CPU|CPU|CPU
REPORT_OS|Operating System|Sistema Operativo
REPORT_RAM|RAM|RAM
REPORT_GPU|GPU|GPU
REPORT_DRIVER|Driver ver.|Ver. driver
REPORT_POINTCLOUD|Active point cloud|Nube de puntos en uso
REPORT_MODULE|Active module|Módulo en uso
REPORT_SENDLOG|Send log file?|¿Adjuntar fichero de registro?
REPORT_SENDREPORT|Send report|Enviar reporte
REPORT_SENDREPORT_DISABLED|Connection to NAS required|Se requiere conexión a NAS
REPORT_NAME|Name or identifier|Nombre o identificador
REPORT_NAME_HINT|Word or name to identify this report|Palabra o nombre identificativo del reporte
REPORT_NAME_INVALID|Name or identifier can't contain whitespaces and only alphanumeric characters|El nombre o identificador no puede contener espacios y sólo caracteres alfanuméricos
RESOURCES_DEFAULT_VALUE|File not selected|Fichero no seleccionado
SCENEITEM_CAMERA|Camera|Cámara
SCENEITEM_IMAGE|Image|Imagen
SCENEITEM_LIGHT|Light|Luz
SCENEITEM_MATERIAL|Material|Material
SCENEITEM_MESH|Triangle mesh|Malla de triángulos
SCENEITEM_PCLOUD|Point cloud|Nube de puntos
SCENEITEM_RESOURCES|Resources|Recursos
SCENEITEM_VALIDATION|Validation Method|Método de validación
SEGMENTATION_TITLE|Segmentation|Segmentación
SEGMENTATION_INPUT|Input|Entrada
SEGMENTATION_INPUT_CHANNEL|Color channel|Canal de color
SEGMENTATION_INPUT_PARAMETERS|Segmentation parameters|Parámetros de segmentación
SEGMENTATION_INPUT_TOOLTIP|Select an image to segment individual trees. High contrast images yield better segmentation results.\n\nYou can use specific color channel as thresholding input.|Seleccione una imagen para segmentar árboles individuales. Imágenes de alto contraste permiten segmentaciones más precisas.\n\nPuede utilizar un canal de color concreto como imagen de entrada para la umbralización.
SEGMENTATION_INPUT_THRESHOLD|Threshold|Umbral
SEGMENTATION_INPUT_THRESHOLDING|Thresholding|Umbralización
SEGMENTATION_INPUT_THRESHOLDED|Thresholded|Umbralizada
SEGMENTATION_INPUT_THRESHOLD_TOOLTIP|Convert image to grayscale and filter out regions without interest.\n\nSet threshold value to assign binary thresholding. Set maximum value as assigned value to thresholded pixels.\nBoth values range from 0 to 255.\n\nSet inverse thresholding to apply inverted threshold method.|Convierte la imagen a escala de grises y filtra las regiones sin interés.\n\nAsgine el valor del umbral para clasificar la imagen.\nEstablezca el valor máximo como el valor asignado a los píxeles que superan el umbral.\nAmbos valores pueden variar entre 0 y 255.\n\nSeleccione umbralización invertida para aplicar el método de umbral invertido.
SEGMENTATION_INPUT_THRESHOLD_INVERT|Invert thresholding|Umbralización invertida
SEGMENTATION_INPUT_THRESHOLD_VALUE|Maximum value|Valor máximo
SEGMENTATION_INPUT_CONTOURS|Contour finding|Búsqueda de contornos
SEGMENTATION_INPUT_CONTOURS_DILATED|Dilated|Dilatada
SEGMENTATION_INPUT_CONTOURS_KERNELDIM|Dilation kernel dimensions|Dimensiones del kernel de dilatación
SEGMENTATION_INPUT_CONTOURS_KERNELITER|Dilation iterations|Iteraciones de dilatación
SEGMENTATION_INPUT_CONTOURS_APPROXMODE|Contour approximation mode|Modo de aproximación de contornos
SEGMENTATION_INPUT_CONTOURS_TOOLTIP|Dilate thresholded regions and approximates bounding rectangles.\n\nSet higher kernel dimensions and/or values for bigger and easier to detect regions, but at risk of merging regions.\n\nFor contour approximation modes, see OpenCV ContourApproximationModes|Dilata las regiones umbralizadas y aproxima los rectángulos envolventes.\n\nEstablezca un kernel de mayores dimensiones y/o valores para obtener regiones de mayor tamaño y fáciles de detectar, pero con el riesgo de mezcla entre regiones.\n\nPara más información de la aproximación de contornos, consultar OpenCV ContourApproximationModes
SEGMENTATION_INPUT_VIEWIMAGE|View images|Ver imágenes
SEGMENTATION_INPUT_VIEWIMAGE_TOOLTIP|View resulting images in detail.\n\nYou can only select available images after segmenting process.|Ver las imágenes resultantes en detalle.\n\nSolo pueden seleccionarse las imágenes disponibles tras el proceso de segmentado.
SEGMENTATION_INPUT_SHAPEMASK|Shapefile mask|Máscara SHAPE
SEGMENTATION_INPUT_FINDCONTOURS|Find contours|Buscar contornos
SEGMENTATION_APROX_GEOCOORDS|Image center coordinates (UTM 30S):|Coordenadas del centro de la imagen (UTM 30S):
SEGMENTATION_BUTTON_SEGMENT|Segment|Segmentar
SEGMENTATION_BUTTON_EXPORT|Export segments|Exportar segmentos
SEGMENTATION_CLEAR|Clear segmentation|Borrar segmentos
SEGMENTATION_CLEAR_CONFIRM|Current segment data will be erased. Continue?|Los segmentos actuales serán eliminados. ¿Continuar?
SEGMENTATION_GEOIN_FROM|From|Desde
SEGMENTATION_GEOIN_TO|To|Hasta
SEGMENTATION_GEOIN_BOX|Geographic rectangle coordinates|Coordenadas geográfica del rectángulo
SEGMENTATION_GEOIN_SYSTEM|Coordinate system|Sistema de coordenadas
SEGMENTATION_MANAGE_ACTION|Action|Acción
SEGMENTATION_MANAGE_ADD|Add|Añadir
SEGMENTATION_MANAGE_BRUSH|Brush|Brocha
SEGMENTATION_MANAGE_BRUSH_SQUARE|Square|Cuadrada
SEGMENTATION_MANAGE_BRUSH_CIRCLE|Circle|Circular
SEGMENTATION_MANAGE_BRUSH_SIZE|Size (px)|Tamaño (px)
SEGMENTATION_MANAGE_MOVE|Move|Mover
SEGMENTATION_MANAGE_REMOVE|Remove|Eliminar
SEGMENTATION_MANAGE_SEGMENT_RANGE|Segment size (%)|Tamaño de segmentos (%)
SEGMENTATION_MANAGE_SEGMENT_RANGEINFO|Limits found regions by size, as a fraction of the image size:\nonly regions between set values will be saved while processing.\n\nUse Preview button to view the minimum and maximum regions allowed as a visual guide.|Limita las regiones encontradas según su tamaño como fración de las dimensiones de la imagen:\nsolo se guardarán las regiones cuyo tamaño quede dentro de rango establecido al procesar.\n\nUtilice el botón de Previsualizar para ver una guía visual de las regiones máxima y mínima permitidas.
SEGMENTATION_MANAGE_GUIDE|Control guide|Guía de controles
SEGMENTATION_MANAGE_GUIDE_ADD|· Click and hold left mouse button to start adding a region.\n· Drag while holding the button to set region rectangle.\n· Release the button to add the new region.|· Haga clic y mantenga el botón izquierdo del ratón para empezar a añadir una nueva región.\n· Arrastre el puntero mientras mantiene el botón para ajustar el rectángulo.\n· Suelte el botón para añadir la nueva región.
SEGMENTATION_MANAGE_GUIDE_MOVE|· Click and hold left mouse button to select hovered region.\n· Drag while holding to move target region. Movement is restricted to image area.\n· Release the button to set the new region position|· Haga clic y mantenga el botón izquierdo del ratón para seleccionar la región sobre la que se encuentra el puntero.\n· Arratre el puntero mientras mantiene el botón para desplazar la región seleccionada. El movimiento está restringido al área de la imagen.\n· Suelte el botón para confirmar la nueva posición de la región.
SEGMENTATION_MANAGE_GUIDE_REMOVE|· Use left mouse button to delete hovered region. You can also hold the button while dragging.|· Utilize el botón izquierdo del ratón para eliminar la región sobre la que se encuentra el puntero. También puede mantener el botón y arrastrar el puntero.
SEGMENTATION_NOIMAGE|No input image loaded|No se ha cargado imagen de entrada
SEGMENTATION_NORESULT|No regions of interest found|No se han encontrado regiones de interés
SEGMENTATION_NOSHAPEFILE|No shapefile loaded|No se ha cargado fichero SHAPE
SEGMENTATION_POPUP_UPLOAD|Confirm upload|Confirmar subida
SEGMENTATION_POPUP_TEXT|This area already has data of same type.\nUpload anyway?|Esta zona contiene datos del mismo tipo.\n¿Continuar la subida?
SEGMENTATION_RECT_COLOR|Rect marker color|Color de las marcas
SEGMENTATION_REGIONCOUNT|Regions|Regiones
SEGMENTATION_TAB_INPUT|Input|Entrada
SEGMENTATION_TAB_MANAGE|Manage|Gestionar
SEGMENTATION_TAB_SQLFILE|SQL File|Fichero SQL
SEGMENTATION_BUTTON_DETECTGEO|Auto|Automático
SEGMENTATION_BUTTON_GENERATESQL|Generate SQL|Generar SQL
SEGMENTATION_BUTTON_LOADSHP|Load SHP|Abrir SHP
SEGMENTATION_ZONA_UNKNOWN|Could not find nearest area from database.|No se pudo encontrar una zona cercana en la base de datos.
SELECTION_NOCLOUD|No point cloud selected|No se ha seleccionado ninguna nube de puntos
SELECTION_NOITEM|No element selected|No se ha seleccionado ningún elemento
SELECTION_UNAVAIL_CLOUD|No point clouds avaiable|No hay nubes de puntos disponibles
SELECTION_UNAVAIL_ITEM|No elements available|No hay elementos disponibles
SETTINGS_DATABASE_IP|IP address|Dirección IP
SETTINGS_DATABASE_WALLET|Oracle Wallet|Oracle Wallet
SETTINGS_DATABASE_WALLET_PATH|Wallet directory|Directorio de Wallet
SETTINGS_DATABASE_WALLET_SERVICE|Service|Servicio
SETTINGS_DATABASE_WALLET_ERROR|No Wallet data found|No se han encontrado datos de Wallet
SETTINGS_GENERAL|General|General
SETTINGS_GENERAL_BGCOLOR|Background color|Color de fondo
SETTINGS_GENERAL_GRIDCOLOR|Grid color|Color de rejilla
SETTINGS_GENERAL_GRIDSHOW|Render grid|Visualizar rejilla
SETTINGS_GENERAL_SHOWFPS|Show FPS in menu bar|Mostrar FPS en la barra de menú
SETTINGS_GENERAL_SHOWMESHLETAABB|Show meshlets AABB|Mostrar AABB de meshlets
SETTINGS_GENERAL_USECOMPUTESHADERS|Use compute shaders|Usar compute shaders
SETTINGS_GENERAL_USEEDL|Use Eye-Dome Lighting|Usar Eye-Dome Lighting
SETTINGS_COLOR_GRADIENT|Spectral data color gradient|Gradiente de color para datos espectrales
SETTINGS_INPUT|Input|Entrada
SETTINGS_INPUT_DCLICKSPEED|Double click speed (s)|Velocidad de doble click (s)
SETTINGS_INPUT_DRAGTHRESH|Pointer drag threshold (px)|Umbral de arrastre del puntero (px)
SETTINGS_LANGUAGE|Language|Idioma
SPECTRALANALYSIS_PRELOAD_BUTTON|Preload data|Precargar datos
SPECTRALANALYSIS_PRELOAD_STATEINFO|Preload status:|Estado de precarga:
SPECTRALANALYSIS_PRELOAD_STATEON|Data in memory|Datos en memoria
SPECTRALANALYSIS_PRELOAD_STATEOFF|Data not loaded|Datos no cargados
SPECTRALANALYSIS_GENERATE_STATS|Compute statistics|Generar estadísticas
SPECTRALANALYSIS_STATS_MEAN|Mean|Media
SPECTRALANALYSIS_STATS_STDEV|Standard deviation|Desviación típica
STATS_PLOT_FPS|FPS plot|Gráfica de FPS
STATS_PLOT_FRAMETIME|Frametime plot|Gráfica de Frametime
STRUCTURE_MASK|Structure mask|Máscara de estructuras
TERRAIN_GENERATION_FROM_IMAGE_TABNAME|Terrain generation from orthophotos|Generación de terreno por ortofotos
TERRAIN_GENERATION_FROM_IMAGE_BUTTON|Generate terrain|Generar terreno
TEXT_DEFAULT_CLOUD_SELECTOR|Select a point cloud for validation|Selecciona una nube para la validación
THERMAL_ADITIONAL|Aditional directories|Directorios adicionales
THERMAL_ADITIONAL_CSV|CSV temperature|CSV temperatura
THERMAL_CAMERA_ALIGN|Camera alignment|Alineación de cámara
THERMAL_CAMERA_ALIGN_RGB|RGB|RGB
THERMAL_CAMERA_ALIGN_THERMAL|Thermal|Térmica
THERMAL_CLOUD_NONE|No point clouds available|No hay nubes de puntos disponibles
THERMAL_IMAGES_REGISTER|Image register|Registro de imágenes
THERMAL_IMAGES_RGB|RGB|RGB
THERMAL_IMAGES_THERMAL|Thermal|Térmica
THERMAL_PROJECTION|Project thermal data|Proyectar información térmica
THERMAL_PROGRESS_METADATA|Reading image metadata...|Leyendo metadatos...
THERMAL_PROGRESS_THERMAL_LOAD|Loading thermal images...|Cargando imágenes térmicas...
THERMAL_PROGRESS_RGB_LOAD|Loading RGB images...|Cargando imágenes RGB...
THERMAL_PROGRESS_IMAGE_REGISTER|Registering images...|Registrando imágenes...
THERMAL_PROGRESS_READ_TEMPERATURE|Reading pixel temperatures...|Leyendo temperatura por píxel...
THERMAL_PROGRESS_OCTREE|Building octree...|Construyendo octree...
THERMAL_PROGRESS_AUGMENT|Augmenting point cloud...|Aumentando nube de puntos...
THERMAL_PROGRESS_CLEANING|Cleaning...|Limpiando...
VALIDATION_TABNAME|Validation|Validación
VALIDATION_BY_MEAN|Colour mean validation method|Método de validación por media de color
VALIDATION_BY_CLASS|Validation method by the largest class|Método de validación por la mayor clase
VEGETATION_MASK|Vegetation mask|Máscara de vegetación
VOXELGRID_SCENEITEM|Desired points per voxel|Puntos deseados por voxel
VOXELGRID_SCENEITEM_GENERATE|Generate voxel grid|Generar malla de vóxeles
WINDOW_CAMERAGIZMO|Camera orientation|Orientación de la cámara
WINDOW_DETAILS|Details|Detalles
WINDOW_INSPECTOR|Inspector|Inspector
WINDOW_MATERIALS|Materials|Materiales
WINDOW_SETTINGS|Settings|Ajustes
WINDOW_STATS|Statistics|Estadísticas
WINDOW_POINTPICKING|Point picking|Selección de puntos
